# go_id	kind	status	crystal_refs	notes
browser.go::func::New	func	missing		auto-generated
browser.go::method::Browser.Call	method	missing		auto-generated
browser.go::method::Browser.Client	method	missing		auto-generated
browser.go::method::Browser.Close	method	missing		auto-generated
browser.go::method::Browser.Connect	method	missing		auto-generated
browser.go::method::Browser.ControlURL	method	missing		auto-generated
browser.go::method::Browser.DefaultDevice	method	missing		auto-generated
browser.go::method::Browser.EachEvent	method	missing		auto-generated
browser.go::method::Browser.Event	method	missing		auto-generated
browser.go::method::Browser.GetCookies	method	missing		auto-generated
browser.go::method::Browser.IgnoreCertErrors	method	missing		auto-generated
browser.go::method::Browser.Incognito	method	missing		auto-generated
browser.go::method::Browser.Logger	method	missing		auto-generated
browser.go::method::Browser.Monitor	method	missing		auto-generated
browser.go::method::Browser.NoDefaultDevice	method	missing		auto-generated
browser.go::method::Browser.Page	method	missing		auto-generated
browser.go::method::Browser.PageFromSession	method	missing		auto-generated
browser.go::method::Browser.PageFromTarget	method	missing		auto-generated
browser.go::method::Browser.Pages	method	missing		auto-generated
browser.go::method::Browser.SetCookies	method	missing		auto-generated
browser.go::method::Browser.SlowMotion	method	missing		auto-generated
browser.go::method::Browser.Trace	method	missing		auto-generated
browser.go::method::Browser.Version	method	missing		auto-generated
browser.go::method::Browser.WaitDownload	method	missing		auto-generated
browser.go::method::Browser.WaitEvent	method	missing		auto-generated
browser.go::struct::Browser	struct	missing		auto-generated
browser_test.go::test::TestBinarySize	test	missing		auto-generated
browser_test.go::test::TestBlockingNavigation	test	missing		auto-generated
browser_test.go::test::TestBrowserCall	test	missing		auto-generated
browser_test.go::test::TestBrowserClearStates	test	missing		auto-generated
browser_test.go::test::TestBrowserConnectConflict	test	missing		auto-generated
browser_test.go::test::TestBrowserConnectErr	test	missing		auto-generated
browser_test.go::test::TestBrowserConnectFailure	test	missing		auto-generated
browser_test.go::test::TestBrowserCookies	test	missing		auto-generated
browser_test.go::test::TestBrowserCrash	test	missing		auto-generated
browser_test.go::test::TestBrowserEvent	test	missing		auto-generated
browser_test.go::test::TestBrowserLostConnection	test	missing		auto-generated
browser_test.go::test::TestBrowserOthers	test	missing		auto-generated
browser_test.go::test::TestBrowserPages	test	missing		auto-generated
browser_test.go::test::TestBrowserPool	test	missing		auto-generated
browser_test.go::test::TestBrowserResetControlURL	test	missing		auto-generated
browser_test.go::test::TestBrowserWaitEvent	test	missing		auto-generated
browser_test.go::test::TestDefaultDevice	test	missing		auto-generated
browser_test.go::test::TestIncognito	test	missing		auto-generated
browser_test.go::test::TestOldBrowser	test	missing		auto-generated
browser_test.go::test::TestPageErr	test	missing		auto-generated
browser_test.go::test::TestPageFromTarget	test	missing		auto-generated
browser_test.go::test::TestResolveBlocking	test	missing		auto-generated
browser_test.go::test::TestStreamReader	test	missing		auto-generated
browser_test.go::test::TestTestTry	test	missing		auto-generated
browser_test.go::test::TestWaitDownload	test	missing		auto-generated
browser_test.go::test::TestWaitDownloadCancel	test	missing		auto-generated
browser_test.go::test::TestWaitDownloadDataURI	test	missing		auto-generated
browser_test.go::test::TestWaitDownloadFromNewPage	test	missing		auto-generated
context.go::method::Browser.CancelTimeout	method	missing		auto-generated
context.go::method::Browser.Context	method	missing		auto-generated
context.go::method::Browser.GetContext	method	missing		auto-generated
context.go::method::Browser.Sleeper	method	missing		auto-generated
context.go::method::Browser.Timeout	method	missing		auto-generated
context.go::method::Browser.WithCancel	method	missing		auto-generated
context.go::method::Element.CancelTimeout	method	missing		auto-generated
context.go::method::Element.Context	method	missing		auto-generated
context.go::method::Element.GetContext	method	missing		auto-generated
context.go::method::Element.Sleeper	method	missing		auto-generated
context.go::method::Element.Timeout	method	missing		auto-generated
context.go::method::Element.WithCancel	method	missing		auto-generated
context.go::method::Page.CancelTimeout	method	missing		auto-generated
context.go::method::Page.Context	method	missing		auto-generated
context.go::method::Page.GetContext	method	missing		auto-generated
context.go::method::Page.Sleeper	method	missing		auto-generated
context.go::method::Page.Timeout	method	missing		auto-generated
context.go::method::Page.WithCancel	method	missing		auto-generated
dev_helpers.go::const::TraceTypeInput	const	missing		auto-generated
dev_helpers.go::const::TraceTypeQuery	const	missing		auto-generated
dev_helpers.go::const::TraceTypeWait	const	missing		auto-generated
dev_helpers.go::const::TraceTypeWaitRequests	const	missing		auto-generated
dev_helpers.go::const::TraceTypeWaitRequestsIdle	const	missing		auto-generated
dev_helpers.go::method::Browser.ServeMonitor	method	missing		auto-generated
dev_helpers.go::method::Element.Overlay	method	missing		auto-generated
dev_helpers.go::method::Page.ExposeHelpers	method	missing		auto-generated
dev_helpers.go::method::Page.Overlay	method	missing		auto-generated
dev_helpers.go::method::TraceType.String	method	missing		auto-generated
dev_helpers.go::type::TraceType	type	missing		auto-generated
dev_helpers_test.go::test::TestExposeHelpers	test	missing		auto-generated
dev_helpers_test.go::test::TestMonitor	test	missing		auto-generated
dev_helpers_test.go::test::TestMonitorErr	test	missing		auto-generated
dev_helpers_test.go::test::TestTrace	test	missing		auto-generated
dev_helpers_test.go::test::TestTraceLogs	test	missing		auto-generated
element.go::method::Element.Attribute	method	missing		auto-generated
element.go::method::Element.BackgroundImage	method	missing		auto-generated
element.go::method::Element.Blur	method	missing		auto-generated
element.go::method::Element.Call	method	missing		auto-generated
element.go::method::Element.CanvasToImage	method	missing		auto-generated
element.go::method::Element.Click	method	missing		auto-generated
element.go::method::Element.ContainsElement	method	missing		auto-generated
element.go::method::Element.Describe	method	missing		auto-generated
element.go::method::Element.Disabled	method	missing		auto-generated
element.go::method::Element.Equal	method	missing		auto-generated
element.go::method::Element.Eval	method	missing		auto-generated
element.go::method::Element.Evaluate	method	missing		auto-generated
element.go::method::Element.Focus	method	missing		auto-generated
element.go::method::Element.Frame	method	missing		auto-generated
element.go::method::Element.GetSessionID	method	missing		auto-generated
element.go::method::Element.GetXPath	method	missing		auto-generated
element.go::method::Element.HTML	method	missing		auto-generated
element.go::method::Element.Hover	method	missing		auto-generated
element.go::method::Element.Input	method	missing		auto-generated
element.go::method::Element.InputColor	method	missing		auto-generated
element.go::method::Element.InputTime	method	missing		auto-generated
element.go::method::Element.Interactable	method	missing		auto-generated
element.go::method::Element.KeyActions	method	missing		auto-generated
element.go::method::Element.Matches	method	missing		auto-generated
element.go::method::Element.MoveMouseOut	method	missing		auto-generated
element.go::method::Element.Page	method	missing		auto-generated
element.go::method::Element.Property	method	missing		auto-generated
element.go::method::Element.Release	method	missing		auto-generated
element.go::method::Element.Remove	method	missing		auto-generated
element.go::method::Element.Resource	method	missing		auto-generated
element.go::method::Element.Screenshot	method	missing		auto-generated
element.go::method::Element.ScrollIntoView	method	missing		auto-generated
element.go::method::Element.Select	method	missing		auto-generated
element.go::method::Element.SelectAllText	method	missing		auto-generated
element.go::method::Element.SelectText	method	missing		auto-generated
element.go::method::Element.SetFiles	method	missing		auto-generated
element.go::method::Element.ShadowRoot	method	missing		auto-generated
element.go::method::Element.Shape	method	missing		auto-generated
element.go::method::Element.String	method	missing		auto-generated
element.go::method::Element.Tap	method	missing		auto-generated
element.go::method::Element.Text	method	missing		auto-generated
element.go::method::Element.Type	method	missing		auto-generated
element.go::method::Element.Visible	method	missing		auto-generated
element.go::method::Element.Wait	method	missing		auto-generated
element.go::method::Element.WaitEnabled	method	missing		auto-generated
element.go::method::Element.WaitInteractable	method	missing		auto-generated
element.go::method::Element.WaitInvisible	method	missing		auto-generated
element.go::method::Element.WaitLoad	method	missing		auto-generated
element.go::method::Element.WaitStable	method	missing		auto-generated
element.go::method::Element.WaitStableRAF	method	missing		auto-generated
element.go::method::Element.WaitVisible	method	missing		auto-generated
element.go::method::Element.WaitWritable	method	missing		auto-generated
element.go::struct::Element	struct	missing		auto-generated
element_test.go::test::TestAttribute	test	missing		auto-generated
element_test.go::test::TestBackgroundImage	test	missing		auto-generated
element_test.go::test::TestBlur	test	missing		auto-generated
element_test.go::test::TestCanvasToImage	test	missing		auto-generated
element_test.go::test::TestCheckbox	test	missing		auto-generated
element_test.go::test::TestClick	test	missing		auto-generated
element_test.go::test::TestClickWrapped	test	missing		auto-generated
element_test.go::test::TestContains	test	missing		auto-generated
element_test.go::test::TestDisabled	test	missing		auto-generated
element_test.go::test::TestElementCancelContext	test	missing		auto-generated
element_test.go::test::TestElementContext	test	missing		auto-generated
element_test.go::test::TestElementEWithDepth	test	missing		auto-generated
element_test.go::test::TestElementEqual	test	missing		auto-generated
element_test.go::test::TestElementErrors	test	missing		auto-generated
element_test.go::test::TestElementFromNodeErr	test	missing		auto-generated
element_test.go::test::TestElementFromPointErr	test	missing		auto-generated
element_test.go::test::TestElementGetXPath	test	missing		auto-generated
element_test.go::test::TestElementInputDate	test	missing		auto-generated
element_test.go::test::TestElementMoveMouseOut	test	missing		auto-generated
element_test.go::test::TestElementMultipleTimes	test	missing		auto-generated
element_test.go::test::TestElementOthers	test	missing		auto-generated
element_test.go::test::TestElementRemove	test	missing		auto-generated
element_test.go::test::TestElementScreenshot	test	missing		auto-generated
element_test.go::test::TestElementWait	test	missing		auto-generated
element_test.go::test::TestElementWaitLoad	test	missing		auto-generated
element_test.go::test::TestEnter	test	missing		auto-generated
element_test.go::test::TestFnErr	test	missing		auto-generated
element_test.go::test::TestGetElementPage	test	missing		auto-generated
element_test.go::test::TestHover	test	missing		auto-generated
element_test.go::test::TestIframeCrossDomains	test	missing		auto-generated
element_test.go::test::TestIframes	test	missing		auto-generated
element_test.go::test::TestInputColor	test	missing		auto-generated
element_test.go::test::TestInputTime	test	missing		auto-generated
element_test.go::test::TestInteractable	test	missing		auto-generated
element_test.go::test::TestInteractableWithNoShape	test	missing		auto-generated
element_test.go::test::TestMatches	test	missing		auto-generated
element_test.go::test::TestNotInteractable	test	missing		auto-generated
element_test.go::test::TestNotInteractableWithNoPointerEvents	test	missing		auto-generated
element_test.go::test::TestProperty	test	missing		auto-generated
element_test.go::test::TestResource	test	missing		auto-generated
element_test.go::test::TestSelectOptions	test	missing		auto-generated
element_test.go::test::TestSelectQuery	test	missing		auto-generated
element_test.go::test::TestSelectText	test	missing		auto-generated
element_test.go::test::TestSetFiles	test	missing		auto-generated
element_test.go::test::TestShadowDOM	test	missing		auto-generated
element_test.go::test::TestShapeInIframe	test	missing		auto-generated
element_test.go::test::TestTap	test	missing		auto-generated
element_test.go::test::TestUseReleasedElement	test	missing		auto-generated
element_test.go::test::TestWaitEnabled	test	missing		auto-generated
element_test.go::test::TestWaitInteractable	test	missing		auto-generated
element_test.go::test::TestWaitInvisible	test	missing		auto-generated
element_test.go::test::TestWaitStable	test	missing		auto-generated
element_test.go::test::TestWaitStableRAP	test	missing		auto-generated
element_test.go::test::TestWaitWritable	test	missing		auto-generated
error.go::func::NotFoundSleeper	func	missing		auto-generated
error.go::method::CoveredError.Error	method	missing		auto-generated
error.go::method::CoveredError.Is	method	missing		auto-generated
error.go::method::CoveredError.Unwrap	method	missing		auto-generated
error.go::method::ElementNotFoundError.Error	method	missing		auto-generated
error.go::method::EvalError.Error	method	missing		auto-generated
error.go::method::EvalError.Is	method	missing		auto-generated
error.go::method::ExpectElementError.Error	method	missing		auto-generated
error.go::method::ExpectElementError.Is	method	missing		auto-generated
error.go::method::ExpectElementsError.Error	method	missing		auto-generated
error.go::method::ExpectElementsError.Is	method	missing		auto-generated
error.go::method::InvisibleShapeError.Error	method	missing		auto-generated
error.go::method::InvisibleShapeError.Is	method	missing		auto-generated
error.go::method::InvisibleShapeError.Unwrap	method	missing		auto-generated
error.go::method::NavigationError.Error	method	missing		auto-generated
error.go::method::NavigationError.Is	method	missing		auto-generated
error.go::method::NoPointerEventsError.Error	method	missing		auto-generated
error.go::method::NoPointerEventsError.Is	method	missing		auto-generated
error.go::method::NoPointerEventsError.Unwrap	method	missing		auto-generated
error.go::method::NoShadowRootError.Error	method	missing		auto-generated
error.go::method::NoShadowRootError.Is	method	missing		auto-generated
error.go::method::NotInteractableError.Error	method	missing		auto-generated
error.go::method::ObjectNotFoundError.Error	method	missing		auto-generated
error.go::method::ObjectNotFoundError.Is	method	missing		auto-generated
error.go::method::PageCloseCanceledError.Error	method	missing		auto-generated
error.go::method::PageNotFoundError.Error	method	missing		auto-generated
error.go::method::TryError.Error	method	missing		auto-generated
error.go::method::TryError.Is	method	missing		auto-generated
error.go::method::TryError.Unwrap	method	missing		auto-generated
error.go::struct::CoveredError	struct	missing		auto-generated
error.go::struct::ElementNotFoundError	struct	missing		auto-generated
error.go::struct::EvalError	struct	missing		auto-generated
error.go::struct::ExpectElementError	struct	missing		auto-generated
error.go::struct::ExpectElementsError	struct	missing		auto-generated
error.go::struct::InvisibleShapeError	struct	missing		auto-generated
error.go::struct::NavigationError	struct	missing		auto-generated
error.go::struct::NoPointerEventsError	struct	missing		auto-generated
error.go::struct::NoShadowRootError	struct	missing		auto-generated
error.go::struct::NotInteractableError	struct	missing		auto-generated
error.go::struct::ObjectNotFoundError	struct	missing		auto-generated
error.go::struct::PageCloseCanceledError	struct	missing		auto-generated
error.go::struct::PageNotFoundError	struct	missing		auto-generated
error.go::struct::TryError	struct	missing		auto-generated
hijack.go::method::Browser.HandleAuth	method	missing		auto-generated
