# go_id	kind	status	crystal_refs	notes
browser_test.go::test::TestBinarySize	test	missing		heuristic-filter
browser_test.go::test::TestBlockingNavigation	test	missing		heuristic-filter
browser_test.go::test::TestBrowserCall	test	missing		heuristic-filter
browser_test.go::test::TestBrowserClearStates	test	missing		heuristic-filter
browser_test.go::test::TestBrowserConnectConflict	test	missing		heuristic-filter
browser_test.go::test::TestBrowserConnectErr	test	missing		heuristic-filter
browser_test.go::test::TestBrowserConnectFailure	test	missing		heuristic-filter
browser_test.go::test::TestBrowserCookies	test	missing		heuristic-filter
browser_test.go::test::TestBrowserCrash	test	missing		heuristic-filter
browser_test.go::test::TestBrowserEvent	test	missing		heuristic-filter
browser_test.go::test::TestBrowserLostConnection	test	missing		heuristic-filter
browser_test.go::test::TestBrowserOthers	test	missing		heuristic-filter
browser_test.go::test::TestBrowserPages	test	missing		heuristic-filter
browser_test.go::test::TestBrowserPool	test	missing		heuristic-filter
browser_test.go::test::TestBrowserResetControlURL	test	missing		heuristic-filter
browser_test.go::test::TestBrowserWaitEvent	test	missing		heuristic-filter
browser_test.go::test::TestDefaultDevice	test	missing		heuristic-filter
browser_test.go::test::TestIncognito	test	missing		heuristic-filter
browser_test.go::test::TestOldBrowser	test	missing		heuristic-filter
browser_test.go::test::TestPageErr	test	missing		heuristic-filter
browser_test.go::test::TestPageFromTarget	test	missing		heuristic-filter
browser_test.go::test::TestResolveBlocking	test	missing		heuristic-filter
browser_test.go::test::TestStreamReader	test	missing		heuristic-filter
browser_test.go::test::TestTestTry	test	missing		heuristic-filter
browser_test.go::test::TestWaitDownload	test	missing		heuristic-filter
browser_test.go::test::TestWaitDownloadCancel	test	missing		heuristic-filter
browser_test.go::test::TestWaitDownloadDataURI	test	missing		heuristic-filter
browser_test.go::test::TestWaitDownloadFromNewPage	test	missing		heuristic-filter
dev_helpers.go::type::TraceType	type	missing		heuristic-filter
dev_helpers_test.go::test::TestExposeHelpers	test	missing		heuristic-filter
dev_helpers_test.go::test::TestMonitor	test	missing		heuristic-filter
dev_helpers_test.go::test::TestMonitorErr	test	missing		heuristic-filter
dev_helpers_test.go::test::TestTrace	test	missing		heuristic-filter
dev_helpers_test.go::test::TestTraceLogs	test	missing		heuristic-filter
element.go::method::Element.GetXPath	method	missing		heuristic-filter
element_test.go::test::TestAttribute	test	missing		heuristic-filter
element_test.go::test::TestBackgroundImage	test	missing		heuristic-filter
element_test.go::test::TestBlur	test	missing		heuristic-filter
element_test.go::test::TestCanvasToImage	test	missing		heuristic-filter
element_test.go::test::TestCheckbox	test	missing		heuristic-filter
element_test.go::test::TestClick	test	missing		heuristic-filter
element_test.go::test::TestClickWrapped	test	missing		heuristic-filter
element_test.go::test::TestContains	test	missing		heuristic-filter
element_test.go::test::TestDisabled	test	missing		heuristic-filter
element_test.go::test::TestElementCancelContext	test	missing		heuristic-filter
element_test.go::test::TestElementContext	test	missing		heuristic-filter
element_test.go::test::TestElementEWithDepth	test	missing		heuristic-filter
element_test.go::test::TestElementEqual	test	missing		heuristic-filter
element_test.go::test::TestElementErrors	test	missing		heuristic-filter
element_test.go::test::TestElementFromNodeErr	test	missing		heuristic-filter
element_test.go::test::TestElementFromPointErr	test	missing		heuristic-filter
element_test.go::test::TestElementGetXPath	test	missing		heuristic-filter
element_test.go::test::TestElementInputDate	test	missing		heuristic-filter
element_test.go::test::TestElementMoveMouseOut	test	missing		heuristic-filter
element_test.go::test::TestElementMultipleTimes	test	missing		heuristic-filter
element_test.go::test::TestElementOthers	test	missing		heuristic-filter
element_test.go::test::TestElementRemove	test	missing		heuristic-filter
element_test.go::test::TestElementScreenshot	test	missing		heuristic-filter
element_test.go::test::TestElementWait	test	missing		heuristic-filter
element_test.go::test::TestElementWaitLoad	test	missing		heuristic-filter
element_test.go::test::TestEnter	test	missing		heuristic-filter
element_test.go::test::TestFnErr	test	missing		heuristic-filter
element_test.go::test::TestGetElementPage	test	missing		heuristic-filter
element_test.go::test::TestHover	test	missing		heuristic-filter
element_test.go::test::TestIframeCrossDomains	test	missing		heuristic-filter
element_test.go::test::TestIframes	test	missing		heuristic-filter
element_test.go::test::TestInputColor	test	missing		heuristic-filter
element_test.go::test::TestInputTime	test	missing		heuristic-filter
element_test.go::test::TestInteractable	test	missing		heuristic-filter
element_test.go::test::TestInteractableWithNoShape	test	missing		heuristic-filter
element_test.go::test::TestMatches	test	missing		heuristic-filter
element_test.go::test::TestNotInteractable	test	missing		heuristic-filter
element_test.go::test::TestNotInteractableWithNoPointerEvents	test	missing		heuristic-filter
element_test.go::test::TestProperty	test	missing		heuristic-filter
element_test.go::test::TestResource	test	missing		heuristic-filter
element_test.go::test::TestSelectOptions	test	missing		heuristic-filter
element_test.go::test::TestSelectQuery	test	missing		heuristic-filter
element_test.go::test::TestSelectText	test	missing		heuristic-filter
element_test.go::test::TestSetFiles	test	missing		heuristic-filter
element_test.go::test::TestShadowDOM	test	missing		heuristic-filter
element_test.go::test::TestShapeInIframe	test	missing		heuristic-filter
element_test.go::test::TestTap	test	missing		heuristic-filter
element_test.go::test::TestUseReleasedElement	test	missing		heuristic-filter
element_test.go::test::TestWaitEnabled	test	missing		heuristic-filter
element_test.go::test::TestWaitInteractable	test	missing		heuristic-filter
element_test.go::test::TestWaitInvisible	test	missing		heuristic-filter
element_test.go::test::TestWaitStable	test	missing		heuristic-filter
element_test.go::test::TestWaitStableRAP	test	missing		heuristic-filter
element_test.go::test::TestWaitWritable	test	missing		heuristic-filter
error.go::method::CoveredError.Is	method	missing		heuristic-filter
error.go::method::EvalError.Is	method	missing		heuristic-filter
error.go::method::ExpectElementError.Is	method	missing		heuristic-filter
error.go::method::ExpectElementsError.Is	method	missing		heuristic-filter
error.go::method::InvisibleShapeError.Is	method	missing		heuristic-filter
error.go::method::NavigationError.Is	method	missing		heuristic-filter
error.go::method::NoPointerEventsError.Is	method	missing		heuristic-filter
error.go::method::NoShadowRootError.Is	method	missing		heuristic-filter
error.go::method::ObjectNotFoundError.Is	method	missing		heuristic-filter
error.go::method::TryError.Is	method	missing		heuristic-filter
hijack.go::method::HijackRequest.IsNavigation	method	missing		heuristic-filter
hijack_test.go::test::TestHandleAuth	test	missing		heuristic-filter
hijack_test.go::test::TestHijack	test	missing		heuristic-filter
hijack_test.go::test::TestHijackContinue	test	missing		heuristic-filter
hijack_test.go::test::TestHijackFailRequest	test	missing		heuristic-filter
hijack_test.go::test::TestHijackLoadResponseErr	test	missing		heuristic-filter
hijack_test.go::test::TestHijackMockWholeResponse	test	missing		heuristic-filter
hijack_test.go::test::TestHijackMockWholeResponseEmptyBody	test	missing		heuristic-filter
hijack_test.go::test::TestHijackMockWholeResponseNoBody	test	missing		heuristic-filter
hijack_test.go::test::TestHijackOnErrorLog	test	missing		heuristic-filter
hijack_test.go::test::TestHijackResponseErr	test	missing		heuristic-filter
hijack_test.go::test::TestHijackSkip	test	missing		heuristic-filter
input.go::const::KeyActionPress	const	missing		heuristic-filter
input.go::const::KeyActionRelease	const	missing		heuristic-filter
input.go::const::KeyActionTypeKey	const	missing		heuristic-filter
input_test.go::test::TestInput	test	missing		heuristic-filter
input_test.go::test::TestKeyActions	test	missing		heuristic-filter
input_test.go::test::TestKeyType	test	missing		heuristic-filter
input_test.go::test::TestKeyTypeErr	test	missing		heuristic-filter
input_test.go::test::TestMouse	test	missing		heuristic-filter
input_test.go::test::TestMouseClick	test	missing		heuristic-filter
input_test.go::test::TestMouseDoubleClick	test	missing		heuristic-filter
input_test.go::test::TestMouseDrag	test	missing		heuristic-filter
input_test.go::test::TestMouseHoldMultiple	test	missing		heuristic-filter
input_test.go::test::TestMouseMoveErr	test	missing		heuristic-filter
input_test.go::test::TestMouseMoveLinear	test	missing		heuristic-filter
input_test.go::test::TestMouseScroll	test	missing		heuristic-filter
input_test.go::test::TestNativeDrag	test	missing		heuristic-filter
input_test.go::test::TestTouch	test	missing		heuristic-filter
lib/cdp/client.go::type::WebSocketable	type	missing		heuristic-filter
lib/cdp/client_test.go::test::TestBasic	test	missing		heuristic-filter
lib/cdp/client_test.go::test::TestCancelCallLeak	test	missing		heuristic-filter
lib/cdp/client_test.go::test::TestConcurrentCall	test	missing		heuristic-filter
lib/cdp/client_test.go::test::TestCrash	test	missing		heuristic-filter
lib/cdp/client_test.go::test::TestError	test	missing		heuristic-filter
lib/cdp/client_test.go::test::TestFormat	test	missing		heuristic-filter
lib/cdp/client_test.go::test::TestMassBrowserClose	test	missing		heuristic-filter
lib/cdp/client_test.go::test::TestSlowSend	test	missing		heuristic-filter
lib/cdp/error.go::method::Error.Is	method	missing		heuristic-filter
lib/cdp/utils.go::func::MustConnectWS	func	missing		heuristic-filter
lib/cdp/utils.go::func::MustStartWithURL	func	missing		heuristic-filter
lib/cdp/utils.go::func::StartWithURL	func	missing		heuristic-filter
lib/cdp/utils.go::method::tlsDialer.DialContext	method	missing		heuristic-filter
lib/cdp/utils.go::type::Dialer	type	missing		heuristic-filter
lib/cdp/websocket.go::struct::BadHandshakeError	struct	missing		heuristic-filter
lib/cdp/websocket_private_test.go::test::TestWebSocketErr	test	missing		heuristic-filter
lib/cdp/websocket_test.go::test::TestDuplicatedConnectErr	test	missing		heuristic-filter
lib/cdp/websocket_test.go::test::TestWebSocketHeader	test	missing		heuristic-filter
lib/cdp/websocket_test.go::test::TestWebSocketLargePayload	test	missing		heuristic-filter
lib/defaults/defaults_test.go::test::TestBasic	test	missing		heuristic-filter
lib/defaults/defaults_test.go::test::TestParseFlag	test	missing		heuristic-filter
lib/devices/device.go::method::Device.IsClear	method	missing		heuristic-filter
lib/devices/utils_test.go::test::TestErr	test	missing		heuristic-filter
lib/examples/compare-chromedp/proxy/main.go::method::transport.RoundTrip	method	missing		heuristic-filter
lib/examples/custom-websocket/main.go::func::NewWebSocket	func	missing		heuristic-filter
lib/examples/e2e-testing/calculator_test.go::test::TestAdd	test	missing		heuristic-filter
lib/examples/e2e-testing/calculator_test.go::test::TestMultiple	test	missing		heuristic-filter
lib/input/keyboard.go::method::Key.Printable	method	missing		heuristic-filter
lib/input/keyboard.go::method::Key.Shift	method	missing		heuristic-filter
lib/input/keyboard_test.go::test::TestKeyEncode	test	missing		heuristic-filter
lib/input/keyboard_test.go::test::TestKeyMap	test	missing		heuristic-filter
lib/input/keyboard_test.go::test::TestKeyModifier	test	missing		heuristic-filter
lib/input/keyboard_test.go::test::TestMac	test	missing		heuristic-filter
lib/input/mouse_test.go::test::TestMouseEncode	test	missing		heuristic-filter
lib/launcher/browser.go::func::NewBrowser	func	missing		heuristic-filter
lib/launcher/browser.go::type::Host	type	missing		heuristic-filter
lib/launcher/flags/flags.go::method::Flag.NormalizeFlag	method	missing		heuristic-filter
lib/launcher/flags/flags.go::type::Flag	type	missing		heuristic-filter
lib/launcher/launcher.go::method::Launcher.GetFlags	method	missing		heuristic-filter
lib/launcher/launcher.go::method::Launcher.IgnoreCerts	method	missing		heuristic-filter
lib/launcher/launcher.go::method::Launcher.MustLaunch	method	missing		heuristic-filter
lib/launcher/launcher_test.go::test::TestAppMode	test	missing		heuristic-filter
lib/launcher/launcher_test.go::test::TestBrowserDownloadErr	test	missing		heuristic-filter
lib/launcher/launcher_test.go::test::TestBrowserValid	test	missing		heuristic-filter
lib/launcher/launcher_test.go::test::TestDownload	test	missing		heuristic-filter
lib/launcher/launcher_test.go::test::TestDownloadHosts	test	missing		heuristic-filter
lib/launcher/launcher_test.go::test::TestGetWebSocketDebuggerURLErr	test	missing		heuristic-filter
lib/launcher/launcher_test.go::test::TestIgnoreCerts	test	missing		heuristic-filter
lib/launcher/launcher_test.go::test::TestIgnoreCerts_InvalidCert	test	missing		heuristic-filter
lib/launcher/launcher_test.go::test::TestLaunch	test	missing		heuristic-filter
lib/launcher/launcher_test.go::test::TestLaunchErr	test	missing		heuristic-filter
lib/launcher/launcher_test.go::test::TestLaunchMultiTimes	test	missing		heuristic-filter
lib/launcher/launcher_test.go::test::TestLaunchUserMode	test	missing		heuristic-filter
lib/launcher/launcher_test.go::test::TestProfileDir	test	missing		heuristic-filter
lib/launcher/launcher_test.go::test::TestUserModeErr	test	missing		heuristic-filter
lib/launcher/manager.go::method::Manager.ServeHTTP	method	missing		heuristic-filter
lib/launcher/private_test.go::test::TestGetURLErr	test	missing		heuristic-filter
lib/launcher/private_test.go::test::TestLaunchClient	test	missing		heuristic-filter
lib/launcher/private_test.go::test::TestLaunchErrs	test	missing		heuristic-filter
lib/launcher/private_test.go::test::TestLaunchOptions	test	missing		heuristic-filter
lib/launcher/private_test.go::test::TestManaged	test	missing		heuristic-filter
lib/launcher/private_test.go::test::TestTestOpen	test	missing		heuristic-filter
lib/launcher/private_test.go::test::TestToHTTP	test	missing		heuristic-filter
lib/launcher/private_test.go::test::TestToWS	test	missing		heuristic-filter
lib/launcher/private_test.go::test::TestURLParserErr	test	missing		heuristic-filter
lib/launcher/url_parser.go::func::NewURLParser	func	missing		heuristic-filter
lib/proto/a_patch.go::func::NewPoint	func	missing		heuristic-filter
lib/proto/a_patch.go::type::MonotonicTime	type	missing		heuristic-filter
lib/proto/a_patch.go::type::Shape	type	missing		heuristic-filter
lib/proto/a_patch.go::type::TimeSinceEpoch	type	missing		heuristic-filter
lib/proto/a_utils_test.go::test::Test	test	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameActivedescendant	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameAtomic	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameAutocomplete	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameBusy	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameChecked	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameControls	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameDescribedby	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameDetails	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameDisabled	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameEditable	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameErrormessage	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameExpanded	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameFlowto	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameFocusable	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameFocused	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameHasPopup	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameHidden	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameHiddenRoot	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameInvalid	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameKeyshortcuts	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameLabelledby	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameLevel	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameLive	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameModal	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameMultiline	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameMultiselectable	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameOrientation	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameOwns	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNamePressed	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameReadonly	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameRelevant	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameRequired	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameRoledescription	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameRoot	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameSelected	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameSettable	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameURL	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameValuemax	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameValuemin	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXPropertyNameValuetext	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueNativeSourceTypeDescription	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueNativeSourceTypeFigcaption	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueNativeSourceTypeLabel	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueNativeSourceTypeLabelfor	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueNativeSourceTypeLabelwrapped	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueNativeSourceTypeLegend	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueNativeSourceTypeOther	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueNativeSourceTypeRubyannotation	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueNativeSourceTypeTablecaption	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueNativeSourceTypeTitle	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueSourceTypeAttribute	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueSourceTypeContents	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueSourceTypeImplicit	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueSourceTypePlaceholder	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueSourceTypeRelatedElement	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueSourceTypeStyle	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueTypeBoolean	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueTypeBooleanOrUndefined	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueTypeComputedString	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueTypeDomRelation	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueTypeIdref	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueTypeIdrefList	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueTypeInteger	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueTypeInternalRole	const	missing		heuristic-filter
lib/proto/accessibility.go::const::AccessibilityAXValueTypeNode	const	missing		heuristic-filter
