# source_api_id	status	crystal_refs	notes
browser.go::func::New	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
browser.go::method::Browser.Call	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
browser.go::method::Browser.Client	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
browser.go::method::Browser.Close	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
browser.go::method::Browser.Connect	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
browser.go::method::Browser.ControlURL	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
browser.go::method::Browser.DefaultDevice	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
browser.go::method::Browser.EachEvent	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
browser.go::method::Browser.Event	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
browser.go::method::Browser.GetCookies	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
browser.go::method::Browser.IgnoreCertErrors	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
browser.go::method::Browser.Incognito	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
browser.go::method::Browser.Logger	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
browser.go::method::Browser.Monitor	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
browser.go::method::Browser.NoDefaultDevice	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
browser.go::method::Browser.Page	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
browser.go::method::Browser.PageFromSession	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
